 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.login_form
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.login_view
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.send_file('login.html',
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', title='Login', form=form)
 render_template('login.html', title='Login', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', title='Login',
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', title='Login', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.login_form
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
 app.send_static_file('login.html')
 app.render_template('login.html', form=form)
 render_template('login.html', form=form)
 render_template('login.html', form=form)
